jugador,seleccion,goles,partidos,media,imagen,link
Miroslav Klose,Alemania,16,24,0.67,http://images.teinteresa.es/deportes/Miroslav-Klose_TINIMA20140607_0274_5.jpg,https://es.wikipedia.org/wiki/Miroslav_Klose
Ronaldo,Brasil,15,19,0.79,http://as01.epimg.net/tikitakas/imagenes/2017/12/28/portada/1514448082_557886_1514448185_noticia_normal.jpg,https://es.wikipedia.org/wiki/Ronaldo
Gerd Müller,Alemania,14,13,01.08,https://i.ytimg.com/vi/hCOC1TS9A1I/maxresdefault.jpg,https://es.wikipedia.org/wiki/Gerd_M%C3%BCller
Just Fontaine,Francia,13,6,2.17,http://img.fifa.com/mm/photo/tournament/competition/02/31/92/92/2319292_big-lnd.jpg,https://es.wikipedia.org/wiki/Just_Fontaine
Pelé,Brasil,12,14,0.86,https://www.pasionfutbol.com/__export/1366811994837/sites/pasionlibertadores/img/2013/04/24/MARADONA-PELE-eterna-discucion_interior_02.jpg_1151390924.jpg,https://es.wikipedia.org/wiki/Pel%C3%A9
Sándor Kocsis,Hungría,11,5,2.2,http://img.fifa.com/mm/photo/worldfootball/nationalteams/01/50/22/63/1502263_full-lnd.jpg,https://es.wikipedia.org/wiki/S%C3%A1ndor_Kocsis
Jürgen Klinsmann,Alemania,11,17,0.65,http://stars-forever.com/d/9332-2/00118350_jbh.jpg,https://es.wikipedia.org/wiki/J%C3%BCrgen_Klinsmann
Helmut Rahn,Alemania,10,10,1,https://www.radiosport.cl/web/wp-content/uploads/2014/06/Helmut-Rahn.jpg,https://es.wikipedia.org/wiki/Helmut_Rahn
Gabriel Batistuta,Argentina,10,12,0.83,http://www.elperiscopio.cl/wp-content/uploads/2017/04/Batistuta.jpg,https://es.wikipedia.org/wiki/Gabriel_Batistuta
Gary Lineker,Inglaterra,10,12,0.83,https://i.pinimg.com/originals/b6/a5/e2/b6a5e28314fbec24e8ebbe0809a909e5.jpg,https://es.wikipedia.org/wiki/Gary_Lineker
Thomas Müller,Alemania,10,13,0.77,http://www.dw.com/image/40267326_303.jpg,https://es.wikipedia.org/wiki/Thomas_M%C3%BCller
Teófilo Cubillas,Perú,10,13,0.77,https://cdn-denganche.s3.amazonaws.com/uploads/2016/06/teofilo-cubillas.jpg,https://es.wikipedia.org/wiki/Te%C3%B3filo_Cubillas
Grzegorz Lato,Polonia,10,20,0.5,http://www.multimedios.com/files/article_main/uploads//2015/04/08/5525c52d23f47.jpeg,https://es.wikipedia.org/wiki/Grzegorz_Lato
Eusébio,Portugal,9,6,1.5,https://static.independent.co.uk/s3fs-public/styles/article_small/public/thumbnails/image/2012/03/26/18/Pg-69s-benfica-getty.jpg,https://es.wikipedia.org/wiki/Eus%C3%A9bio_da_Silva_Ferreira
Christian Vieri,Italia,9,9,1,https://cdn.urgente24.com/sites/default/files/notas/2014/02/17/Vieri.jpg,https://es.wikipedia.org/wiki/Christian_Vieri
Vavá,Brasil,9,10,0.9,http://www.diariodemorelos.com/sites/default/files/imagecache/400xY/130119_sos15.jpg,https://es.wikipedia.org/wiki/Vav%C3%A1
David Villa,España,9,12,0.75,http://img.fifa.com/mm/photo/tournament/competition/01/26/39/97/1263997_full-lnd.jpg,https://es.wikipedia.org/wiki/David_Villa
Paolo Rossi,Italia,9,14,0.64,https://img.peru21.pe/files/article_content_ec_fotos/uploads/2017/08/10/598ce526ba75d.jpeg,https://es.wikipedia.org/wiki/Paolo_Rossi
Jairzinho,Brasil,9,16,0.56,https://www.futbol-tactico.com/phpexcale.php?file=/data/news/es/20160510_172436_portada.jpg,https://es.wikipedia.org/wiki/Jairzinho
Karl-Heinz Rummenigge,Alemania,9,20,0.45,http://mediadb.kicker.de/1981/fussball/spieler/xl/12573_14_201011191394120.jpg,https://es.wikipedia.org/wiki/Karl-Heinz_Rummenigge
